#{"t_start": 1616687079.692363, "env_id": "LunarLanderContinuous-v2"}
r,l,t
-446.302964,51,379.757231
-467.513227,62,380.103331
-693.695218,81,380.605425
-460.45042,61,381.192766
-279.721326,50,381.619089
-788.937598,75,381.996686
-789.483349,87,382.529801
-895.11805,83,383.102475
-500.324792,55,383.640566
-506.676353,57,384.004362
-407.97801,50,384.377683
-528.438133,60,384.712074
-677.990938,77,385.201495
-505.054791,57,385.685114
-542.775742,67,386.067008
-764.588624,77,386.49624
-619.108093,67,386.992598
-445.436896,54,387.400261
-414.659535,53,387.762694
-539.687174,59,388.11858
-485.078596,72,388.516658
-835.507699,77,388.989919
-400.88663,59,389.47691
-553.401148,63,389.870791
-457.221046,76,390.33289
-346.820562,53,390.894578
-582.318439,63,391.226143
-578.219349,72,391.625295
-727.027453,81,392.132417
-559.298887,63,392.651227
-496.002871,69,393.057464
-875.991708,84,393.499213
-555.646468,66,394.012575
-596.474982,65,394.452252
-353.135484,50,394.888766
-437.107301,55,395.248766
-419.735427,66,395.703722
-506.726067,72,396.158181
-508.168111,58,396.699963
-448.22255,62,397.101008
-697.114031,85,397.535821
-699.841028,72,398.081329
-772.572931,85,398.567693
-452.875279,56,399.097262
-809.827719,81,399.479818
-498.052979,65,400.00092
-818.954558,84,400.432166
-844.718802,85,400.995444
-628.843951,81,401.545197
-355.15466,51,402.054903
-608.691274,69,402.401881
-771.661085,77,402.84855
-782.938934,86,403.347375
-565.12596,63,403.856154
-935.177836,87,404.249798
-448.603678,52,404.805079
-475.584384,74,405.209263
-449.09689,55,405.638131
-326.821114,52,405.961176
-459.174122,57,406.305314
-541.169016,69,406.711183
-570.324682,61,407.194152
-778.455401,79,407.566873
-700.882726,79,408.143799
-568.439729,64,408.710627
-813.873391,88,409.171397
-545.577387,67,409.817706
-518.213122,67,410.261405
-452.072472,59,410.70116
-781.598328,74,411.171524
-445.426952,62,411.722724
-567.951766,74,412.166104
-524.136898,69,412.664994
-329.660577,50,413.122039
-811.711013,79,413.478266
-503.157438,64,413.989171
-364.700849,53,414.411926
-447.723533,76,414.790862
-884.049641,85,415.322044
-750.661882,72,415.872762
-405.271904,51,416.3354
-469.796596,56,416.692317
-567.866026,63,417.07334
-473.228845,59,417.487005
-527.694338,60,417.918396
-453.612117,79,418.378645
-546.79474,70,418.882636
-400.490024,59,419.330604
-509.145109,71,419.729524
-437.706748,52,420.195372
-549.487486,67,420.570025
-758.389212,84,421.076587
-574.874645,64,421.666836
-496.325485,57,422.103099
-351.115827,54,422.483757
-410.078192,54,422.848349
-649.173368,78,423.218973
-434.583035,54,423.689163
-334.796662,51,424.04763
-564.401445,64,424.401611
-572.707024,66,424.800594
-532.978156,68,425.213328
-504.259894,59,425.635953
-359.487031,53,426.005197
-716.35915,74,426.367105
-489.225566,76,426.830634
-874.09206,82,427.316885
-425.526166,81,427.828639
-464.142324,61,428.315969
-796.072589,80,428.706014
-523.569087,58,429.206496
-501.503253,58,429.601522
-484.199314,69,429.998466
-407.808947,57,430.426337
-666.384323,70,430.801895
-471.000962,61,431.240551
-577.605667,62,431.641034
-463.223786,55,432.067272
-493.758254,72,432.453215
-667.535848,80,432.917864
-521.627784,61,433.394448
-526.588088,60,433.801629
-913.790673,85,434.233948
-399.700832,54,434.770705
-518.30975,59,435.105735
-669.360569,73,435.483546
-505.443477,60,435.963808
-456.931324,56,436.353143
-462.952695,77,436.720215
-670.119356,102,437.251585
-689.770778,82,437.899574
-352.374453,52,438.398488
-382.936595,51,438.729767
-512.990681,65,439.091554
-465.298816,53,439.485527
-475.991406,76,439.845875
-792.12513,77,440.362627
-378.850405,54,440.867276
-454.557167,56,441.224362
-721.683565,81,441.615267
-702.695959,82,442.153392
-742.856226,81,442.647588
-491.901371,73,443.132768
-462.334559,64,443.576059
-714.663885,76,443.982216
-468.229173,61,444.471297
-817.258952,75,444.884921
-979.908665,87,445.363105
-400.274939,52,445.881724
-699.325238,72,446.224177
-504.758717,71,446.702574
-654.067085,69,447.201544
